structure_id,structure_name,structure_type,anchor_id,anchor_type,steel_tensile_strength_char,steel_xsect_area,anchor_load_char_calculation_method,anchor_load_char,warning_value_calculation_method,alarm_value_calculation_method,warning_value,alarm_value,installation_date,installed_anchor_load,measurement_date,measured_anchor_load,stress_unit,force_unit,area_unit
Bauwerk ID,Bauwerk,Bauwerktyp,Anker ID,Ankertyp,zul. Stahlfestigkeit,Stahlquerschnitt,Berechnungsmethode zul. Ankerkraft,zul. Ankerkraft,Berechnungsmethode Aufmerksamkeitswert,Berechnungsmethode Interventionswert,Aufmerksamkeitswert,Interventionswert,Baujahr,installierte Ankerkraft,Messdatum,gemssene Ankerkrfaft,Spannungseinheit,Krafteinheit,Flächeneinheit
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,22.1,,1770,1116,,,,,,,1984,800,2004,832,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,19.1,,1770,1116,,,,,,,1984,800,2004,866,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18a,,1770,1116,,,,,,,1984,1000,2004,1038,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18b,,1770,1116,,,,,,,1984,1000,2004,993,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18c,,1770,1116,,,,,,,1984,600,2004,600,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18d,,1770,1116,,,,,,,,,2004,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,17,,1770,1116,,,,,,,1984,1000,2004,990,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,14,,1770,1116,,,,,,,1984,1000,2004,994,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13a,,1770,1116,,,,,,,1984,1000,2004,991,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13b,,1770,1116,,,,,,,1984,1000,2004,1038,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13c,,1770,1116,,,,,,,1984,1000,2004,1015,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13d,,1770,1116,,,,,,,,,2004,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,12,,1770,1116,,,,,,,1984,1000,2004,1005,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,10,,1770,1116,,,,,,,1984,1000,2004,1016,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,9a,,1770,1116,,,,,,,1984,1000,2004,1068,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,9b,,1770,1116,,,,,,,1984,1000,2004,1025,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,30a,,1770,1116,,,,,,,1984,1000,2010,1083,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,30b,,1770,1116,,,,,,,1984,1000,2010,1055,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29a,,1770,1116,,,,,,,1984,1000,2010,980,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29b,,1770,1116,,,,,,,1984,1000,2010,1022,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29c,,1770,1116,,,,,,,,,2010,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29d,,1770,1116,,,,,,,,,2010,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,28,,1770,1116,,,,,,,,,2010,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,25,,1770,1116,,,,,,,,,2010,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,24a,,1770,1116,,,,,,,,,2010,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,24,,1770,1116,,,,,,,1984,1000,2010,1051,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,23,,1770,1116,,,,,,,1984,1000,2010,1058,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,23a,,1770,1116,,,,,,,,,2010,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,22.1,,1770,1116,,,,,,,1984,800,2010,830,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,19.1,,1770,1116,,,,,,,1984,800,2010,871,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18a,,1770,1116,,,,,,,1984,1000,2010,1053,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18b,,1770,1116,,,,,,,1984,1000,2010,1016,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18c,,1770,1116,,,,,,,1984,600,2010,618,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18d,,1770,1116,,,,,,,,,2010,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,17,,1770,1116,,,,,,,1984,1000,2010,993,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,14,,1770,1116,,,,,,,1984,1000,2010,1000,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13a,,1770,1116,,,,,,,1984,1000,2010,1055,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13b,,1770,1116,,,,,,,1984,1000,2010,1008,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13c,,1770,1116,,,,,,,1984,1000,2010,1042,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13d,,1770,1116,,,,,,,,,2010,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,12,,1770,1116,,,,,,,1984,1000,2010,1012,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,10,,1770,1116,,,,,,,1984,1000,2010,969,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,9a,,1770,1116,,,,,,,1984,1000,2010,1073,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,9b,,1770,1116,,,,,,,1984,1000,2010,1048,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,30a,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,30b,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29a,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29b,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29c,,1770,1116,,,,,,,,,2014,1004,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,29d,,1770,1116,,,,,,,,,2014,1004,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,28,,1770,1116,,,,,,,,,2014,1004,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,25,,1770,1116,,,,,,,,,2014,1004,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,24a,,1770,1116,,,,,,,,,2014,1004,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,24,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,23,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,23a,,1770,1116,,,,,,,,,2014,1004,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,22.1,,1770,1116,,,,,,,1984,800,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,19.1,,1770,1116,,,,,,,1984,800,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18a,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18b,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18c,,1770,1116,,,,,,,1984,600,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,18d,,1770,1116,,,,,,,,,2014,1004,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,17,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,14,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13a,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13b,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13c,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,13d,,1770,1116,,,,,,,,,2014,1004,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,12,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,10,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,9a,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
SM4,"N8, Bönigen-Iseltwald, Sm 4",Stützmauer,9b,,1770,1116,,,,,,,1984,1000,2014,,MPa,kN,mm
